date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:05:40	173/173	U-----	200	untouched ('')	image/gif	etag:%22ad-5190b6fa4ae6e%22	http://psykologisk-center.dk/wordpress/wp-content/themes/psykc/images/punkt.gif	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/wordpress/wp-content/themes/psykc/images/punkt.gif	(from http://psykologisk-center.dk/wordpress/wp-content/themes/psykc/style.css)
20:05:42	29063/29063	U-----	200	untouched ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:55%20GMT	https://maxcdn.bootstrapcdn.com/font-awesome/4.6.3/css/font-awesome.min.css	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/font-awesome/4.6.3/css/font-awesome.min.css	(from http://psykologisk-center.dk/)
20:05:43	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Apr%202021%2018:05:42%20GMT	http://psykologisk-center.dk/?p=506	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/index8ce5.html	(from http://psykologisk-center.dk/tilskud-til-betaling-af-psykologsamtaler/)
20:05:43	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Apr%202021%2018:05:43%20GMT	http://psykologisk-center.dk/?p=58	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/indexe9b4.html	(from http://psykologisk-center.dk/medarbejdere/)
20:05:44	2560/2560	U--MC-	200	updated ('OK')	text/xml	date:Thu,%2022%20Apr%202021%2018:05:43%20GMT	http://psykologisk-center.dk/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fpsykologisk-center.dk%2Ftilskud-til-betaling-af-psykologsamtaler%2F&format=xml	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/wp-json/oembed/1.0/embed6600	(from http://psykologisk-center.dk/tilskud-til-betaling-af-psykologsamtaler/)
20:05:44	2328/2328	U--MC-	200	updated ('OK')	application/json	date:Thu,%2022%20Apr%202021%2018:05:43%20GMT	http://psykologisk-center.dk/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fpsykologisk-center.dk%2Fmedarbejdere%2F	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/wp-json/oembed/1.0/embed8a23	(from http://psykologisk-center.dk/medarbejdere/)
20:05:44	78814/78814	U-----	200	untouched ('')	application/pdf	etag:%22133de-55b1ec3a3ed40%22	http://psykologisk-center.dk/pdf/kernberg2.pdf	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/pdf/kernberg2.pdf	(from http://psykologisk-center.dk/medarbejdere/)
20:05:44	2420/2420	U--MC-	200	updated ('OK')	text/xml	date:Thu,%2022%20Apr%202021%2018:05:43%20GMT	http://psykologisk-center.dk/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fpsykologisk-center.dk%2Fmedarbejdere%2F&format=xml	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/wp-json/oembed/1.0/embedd2a3	(from http://psykologisk-center.dk/medarbejdere/)
20:05:44	11014695/11014695	U-----	200	untouched ('')	application/pdf	etag:%22a81227-56f8a47f2d88d%22	http://psykologisk-center.dk/wordpress/wp-content/uploads/2018/06/vaginisme1987.pdf	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/wordpress/wp-content/uploads/2018/06/vaginisme1987.pdf	(from http://psykologisk-center.dk/medarbejdere/)
20:05:44	151383/151383	U-----	200	untouched ('')	application/pdf	etag:%2224f57-51ca1c4910bb0%22	http://psykologisk-center.dk/pdf2/Vaginisme%20og%20graviditet.pdf	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/pdf2/Vaginisme%20og%20graviditet.pdf	(from http://psykologisk-center.dk/medarbejdere/)
20:05:45	3548/3548	U--MC-	200	updated ('OK')	application/json	date:Thu,%2022%20Apr%202021%2018:05:43%20GMT	http://psykologisk-center.dk/wp-json/wp/v2/pages/506	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/wp-json/wp/v2/pages/506	(from http://psykologisk-center.dk/tilskud-til-betaling-af-psykologsamtaler/)
20:05:45	115557/115557	U-----	200	untouched ('')	application/pdf	etag:%221c365-51ca1c45314ed%22	http://psykologisk-center.dk/pdf2/Det%20antisociale%20syndrom.pdf	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/pdf2/Det%20antisociale%20syndrom.pdf	(from http://psykologisk-center.dk/medarbejdere/)
20:05:45	111435/111435	U-----	200	untouched ('')	application/pdf	etag:%221b34b-51ca1c4739925%22	http://psykologisk-center.dk/pdf2/Psykoterap.%20behand.pdf	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/pdf2/Psykoterap.%20behand.pdf	(from http://psykologisk-center.dk/medarbejdere/)
20:05:45	1254495/1254495	U-----	200	untouched ('')	application/pdf	etag:%2213245f-51ca1c481785a%22	http://psykologisk-center.dk/pdf2/Ti%20timer%20slaar%20ikke%20til.pdf	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/pdf2/Ti%20timer%20slaar%20ikke%20til.pdf	(from http://psykologisk-center.dk/medarbejdere/)
20:05:45	1457189/1457189	U-----	200	untouched ('')	application/pdf	etag:%22163c25-51ca1c48d34b9%22	http://psykologisk-center.dk/pdf2/Unyttig%20og%20uvidende.pdf	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/pdf2/Unyttig%20og%20uvidende.pdf	(from http://psykologisk-center.dk/medarbejdere/)
20:05:46	111694/111694	U-----	200	untouched ('')	application/pdf	etag:%221b44e-51ca1c4571e76%22	http://psykologisk-center.dk/pdf2/Drenge%20og%20sexsuelle%20overg.pdf	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/pdf2/Drenge%20og%20sexsuelle%20overg.pdf	(from http://psykologisk-center.dk/medarbejdere/)
20:05:46	236117/236117	U-----	200	untouched ('')	application/pdf	etag:%2239a55-51ca1c467b0f3%22	http://psykologisk-center.dk/pdf2/Kulturelle%20saertraek.pdf	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/pdf2/Kulturelle%20saertraek.pdf	(from http://psykologisk-center.dk/medarbejdere/)
20:05:46	85442/85442	U-----	200	untouched ('')	application/pdf	etag:%2214dc2-51ca1c46b80c1%22	http://psykologisk-center.dk/pdf2/Mere%20end%20drengestreger.pdf	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/pdf2/Mere%20end%20drengestreger.pdf	(from http://psykologisk-center.dk/medarbejdere/)
